prefecture,lat,long,amt,col
Okayama,34.66167,133.935,19057.951,#ff0b0080
Aomori,40.82444,140.74,19174.633,#ff160080
Kagoshima,31.56028,130.55806,19383.615,#ff210080
Nagasaki,32.74472,129.87361,19624.797,#ff2c0080
Akita,39.71861,140.1025,19922.451,#ff370080
Miyazaki,31.91111,131.42389,20084.07,#ff420080
Wakayama,34.22611,135.1675,20257.07,#ff4d0080
Kochi,33.55972,133.53111,20518.617,#ff580080
Nara,34.68528,135.83278,20699.023,#ff630080
Tokushima,34.06583,134.55944,20979.746,#ff6e0080
Iwate,39.70361,141.1525,21028.254,#ff790080
Saga,33.24944,130.29889,21281.56,#ff840080
Yamagata,38.24056,140.36333,21366.271,#ff8f0080
Chiba,35.60472,140.12333,21400.426,#ff9a0080
Fukuoka,33.60639,130.41806,21408.799,#ffa50080
Saitama,35.85694,139.64889,21556.38,#ffb00080
Ehime,33.84167,132.76611,21662.562,#ffbb0080
Kumamoto,32.78972,130.74167,21693.346,#ffc60080
Ibaraki,36.34139,140.44667,22217.734,#ffd10080
Miyagi,38.26889,140.87194,22298.986,#ffdc0080
Fukushima,37.75,140.46778,22318.8,#ffe70080
Shimane,35.47222,133.05056,22368.414,#fff20080
Hokkaido,43.06417,141.34694,22419.062,#fffd0080
Tottori,35.50361,134.23833,22596.787,#ffff0080
Yamaguchi,34.18583,131.47139,22802.846,#f4ff0080
Hyogo,34.69139,135.18306,22952.5,#e9ff0080
Gifu,35.39111,136.72222,23138.615,#deff0080
Oita,33.23806,131.6125,23597.947,#d3ff0080
Niigata,37.90222,139.02361,23598.76,#c8ff0080
Tochigi,36.56583,139.88361,23718.824,#bdff0080
Gunma,36.39111,139.06083,23863.443,#b2ff0080
Kagawa,34.34028,134.04333,24500.148,#a7ff0080
Okinawa,26.2125,127.68111,24552.264,#9cff0080
Kyoto,35.02139,135.75556,24819.113,#91ff0080
Yamanashi,35.66389,138.56833,24866.447,#86ff0080
Mie,34.73028,136.50861,24893.58,#7bff0080
Hiroshima,34.39639,132.45944,24906.82,#70ff0080
Shizuoka,34.97694,138.38306,25400.39,#65ff0080
Nagano,36.65139,138.18111,25522.443,#5aff0080
Ishikawa,36.59444,136.62556,25656.713,#4fff0080
Toyama,36.69528,137.21139,26144.809,#44ff0080
Fukui,36.06528,136.22194,26391.145,#39ff0080
Shiga,35.00444,135.86833,26449.066,#2eff0080
Kanagawa,35.44778,139.6425,28386.1,#23ff0080
Aichi,35.18028,136.90667,28834.852,#18ff0080
Osaka,34.68639,135.52,28903.676,#0dff0080
Tokyo,35.68944,139.69167,46556.94,#02ff0080
