Prefecture,2005 GDP (in millions),2006 GDP (in millions),2007 GDP (in millions),2008 GDP (in millions),2009 GDP (in millions),2010 GDP (in millions),2011 GDP (in millions),2012 GDP (in millions),2013 GDP (in millions),2014 GDP (in millions),2015 GDP (in millions),2016 GDP (in millions),2017 GDP (in millions),2018 GDP (in millions),2019 GDP (in millions)
Aichi,324412,324412,315676,320471,325266,330062,334857,339653,344448,349244,36974383.4,37958466.8,38942550.2,39926633.6,40910717
Akita,33190,33190,32343,32517,32691,32865,33039,33213,33387,33561,3491806,3525042,3558278,3591514,3624750
Aomori,39118,39118,38812,39405,39999,40593,41186,41780,42374,42968,4448969.4,4470028.8,4491088.2,4512147.6,4533207
Chiba,172443,172443,166882,170829,174776,178723,182671,186618,190565,194513,20291836.6,20538773.2,20785709.8,21032646.4,21279583
Ehime,44651,44651,41970,42568,43166,43764,44362,44960,45558,46156,4834854.2,4913208.4,4991562.6,5069916.8,5148271
Fukui,30269,30269,28093,28418,28744,29070,29395,29721,30047,30373,3242904.6,3355819.2,3468733.8,3581648.4,3694563
Fukuoka,164430,164430,157200,159851,162502,165153,167804,170455,173106,175757,18478242.4,18844284.8,19210327.2,19576369.6,19942412
Fukushima,70941,70941,66948,67642,68336,69030,69724,70418,71112,71807,7517296.4,7634732.8,7752169.2,7869605.6,7987042
Gifu,67490,67490,62728,63760,64792,65824,66856,67888,68920,69953,7354430,7500030,7645630,7791230,7936830
Gunma,67937,67937,63677,65678,67679,69680,71681,73682,75683,77684,8266052,8526624,8787196,9047768,9308340
Hiroshima,105993,105993,101751,102793,103836,104879,105922,106965,108008,109051,11384137.2,11530374.4,11676611.6,11822848.8,11969086
Hokkaido,175017,175017,156755,159986,163217,166448,169679,172910,176141,179372,18880600.2,19276600.4,19672600.6,20068600.8,20464601
Hyogo,172973,172973,162506,166722,170938,175154,179371,183587,187803,192020,20269514.2,20750928.4,21232342.6,21713756.8,22195171
Ibaraki,99775,99775,98323,100374,102426,104478,106529,108581,110633,112685,12108367.4,12604334.8,13100302.2,13596269.6,14092237
Ishikawa,42157,42157,39991,40638,41285,41932,42580,43227,43874,44522,4626332.4,4664614.8,4702897.2,4741179.6,4779462
Iwate,41100,41100,38592,39520,40449,41378,42307,43236,44165,45094,4687150.8,4727261.6,4767372.4,4807483.2,4847594
Kagawa,32639,32639,31113,31759,32405,33051,33697,34343,34989,35635,5418844.2,5507348.4,5595852.6,5684356.8,5772861
Kagoshima,48908,48908,46405,47165,47925,48685,49445,50205,50965,51725,31298678.2,32275356.4,33252034.6,34228712.8,35205391
Kanagawa,284940,284940,271417,274677,277937,281198,284458,287719,290979,294240,2372521.4,2395532.8,2418544.2,2441555.6,2464567
Kochi,20970,20970,19407,19891,20376,20860,21345,21829,22314,22799,5752629,5905328,6058027,6210726,6363425
Kumamoto,51403,51403,48791,49583,50376,51169,51962,52755,53548,54341,10196260,10338720,10481180,10623640,10766100
Kyoto,90846,90846,85710,87402,89095,90788,92481,94174,95867,97560,7742382.6,7828385.2,7914387.8,8000390.4,8086393
Mie,70418,70418,69697,70354,71011,71668,72325,72982,73639,74296,9082550.8,9269251.6,9455952.4,9642653.2,9829354
Miyagi,75928,75928,70363,72643,74923,77203,79483,81763,84043,86324,3655542,3667644,3679746,3691848,3703950
Miyazaki,31800,31800,29991,30757,31523,32289,33056,33822,34588,35355,8000427.8,8113905.6,8227383.4,8340861.2,8454339
Nagano,74392,74392,69195,70243,71291,72340,73388,74437,75485,76534,4406199.6,4502089.2,4597978.8,4693868.4,4789758
Nagasaki,39064,39064,36366,37146,37926,38706,39486,40266,41046,41827,3617606.4,3694502.8,3771399.2,3848295.6,3925192
Nara,34493,34493,31845,32204,32563,32922,33281,33640,33999,34359,8796291.8,8893513.6,8990735.4,9087957.2,9185179
Niigata,84310,84310,76256,77421,78586,79752,80917,82083,83248,84414,4219122.8,4295605.6,4372088.4,4448571.2,4525054
Oita,40458,40458,38000,38314,38628,38942,39257,39571,39885,40200,7362714,7482658,7602602,7722546,7842490
Okayama,65895,65895,63968,64871,65774,66677,67580,68483,69386,70289,4167513.8,4283967.6,4400421.4,4516875.2,4633329
Okinawa,32827,32827,31099,32272,33445,34618,35791,36964,38137,39311,38584872.8,39235745.6,39886618.4,40537491.2,41188364
Osaka,345340,345340,330536,335903,341270,346637,352004,357371,362738,368105,2833695,2930170,3026645,3123120,3219595
Saga,26238,26238,25575,25716,25857,25998,26139,26280,26421,26562,21460079.2,22005758.4,22551437.6,23097116.8,23642796
Saitama,189222,189222,179257,182641,186026,189411,192795,196180,199565,202950,6061209.8,6276549.6,6491889.4,6707229.2,6922569
Shiga,54674,54674,51099,51903,52707,53511,54315,55119,55923,56727,2443671.6,2505073.2,2566474.8,2627876.4,2689278
Shimane,22276,22276,21283,21545,21807,22069,22331,22593,22855,23117,15927256.8,16412013.6,16896770.4,17381527.2,17866284
Shizuoka,152211,152211,143754,144625,145496,146367,147238,148109,148980,149852,8398708.4,8614516.8,8830325.2,9046133.6,9261942
Tochigi,74715,74715,70219,71531,72843,74156,75468,76781,78093,79406,3054337.2,3096344.4,3138351.6,3180358.8,3222366
Tokushima,24716,24716,22451,23419,24388,25356,26325,27293,28262,29231,99058162.4,103214224.8,107370287.2,111526349.6,115682412
Tokyo,826418,826418,783845,803426,823007,842588,862170,881751,901332,920914,1802019,1824858,1847697,1870536,1893375
Tottori,18354,18354,16978,17019,17060,17101,17142,17183,17224,17265,4544086.4,4635622.8,4727159.2,4818695.6,4910232
Toyama,43361,43361,39526,40051,40577,41103,41629,42155,42681,43207,3612134.2,3645238.4,3678342.6,3711446.8,3744551
Wakayama,31912,31912,28903,29735,30567,31400,32232,33065,33897,34730,3870990.8,3987421.6,4103852.4,4220283.2,4336714
Yamagata,36636,36636,35742,35840,35939,36038,36137,36236,36335,36434,6045331.4,6121622.8,6197914.2,6274205.6,6350497
Yamaguchi,53048,53048,49598,50787,51976,53165,54355,55544,56733,57923,3208161.2,3297632.4,3387103.6,3476574.8,3566046
Yamanashi,29178,29178,27485,27881,28278,28675,29072,29469,29866,30263,,,,,
