Prefecture,2005 Population,2006 Population,2007 Population,2008 Population,2009 Population,2010 Population,2011 Population,2012 Population,2013 Population,2014 Population,2015 Population,2016 Population,2017 Population,2018 Population,2019 Population
Aichi,7254704,7255259.6,7255815.2,7256370.8,7256926.4,7410719,7411274.6,7411830.2,7412385.8,7412941.4,7484094,7495758,7507422,7519086,7530750
Akita,1145501,1146056.6,1146612.2,1147167.8,1147723.4,1085997,1086552.6,1087108.2,1087663.8,1088219.4,1022839,1010171,997504,984836,972169
Aomori,1436657,1437212.6,1437768.2,1438323.8,1438879.4,1373339,1373894.6,1374450.2,1375005.8,1375561.4,1308649,1158153,1149578,1141002,1132427
Chiba,6056462,6057017.6,6057573.2,6058128.8,6058684.4,6216289,6216844.6,6217400.2,6217955.8,6218511.4,6224027,8838663,8838418,8838174,8837929
Ehime,1467815,1468370.6,1468926.2,1469481.8,1470037.4,1431493,1432048.6,1432604.2,1433159.8,1433715.4,1385840,1294516,1280383,1266250,1252117
Fukui,821592,822147.6,822703.2,823258.8,823814.4,806314,806869.6,807425.2,807980.8,808536.4,787099,6236117,6248208,6260298,6272389
Fukuoka,5049908,5050463.6,5051019.2,5051574.8,5052130.4,5071968,5072523.6,5073079.2,5073634.8,5074190.4,5102871,1377640,1369440,1361240,1353040
Fukushima,2091319,2091874.6,2092430.2,2092985.8,2093541.4,2029064,2029619.6,2030175.2,2030730.8,2031286.4,1913606,783051,779004,774957,770910
Gifu,2107226,2107781.6,2108337.2,2108892.8,2109448.4,2080773,2081328.6,2081884.2,2082439.8,2082995.4,2032533,5109339,5115808,5122276,5128745
Gunma,2024135,2024690.6,2025246.2,2025801.8,2026357.4,2008068,2008623.6,2009179.2,2009734.8,2010290.4,1973476,1897515,1881424,1865333,1849242
Hiroshima,2876642,2877197.6,2877753.2,2878308.8,2878864.4,2860750,2861305.6,2861861.2,2862416.8,2862972.4,2844963,2021774,2011016,2000258,1989500
Hokkaido,5627737,5628292.6,5628848.2,5629403.8,5629959.4,5506419,5506974.6,5507530.2,5508085.8,5508641.4,5383579,1966602,1959729,1952856,1945983
Hyogo,5590601,5591156.6,5591712.2,5592267.8,5592823.4,5588133,5588688.6,5589244.2,5589799.8,5590355.4,5536989,2835910,2826858,2817806,2808754
Ibaraki,2975167,2975722.6,2976278.2,2976833.8,2977389.4,2969770,2970325.6,2970881.2,2971436.8,2971992.4,2917857,5351786,5319993,5288200,5256407
Ishikawa,1174026,1174581.6,1175137.2,1175692.8,1176248.4,1169788,1170343.6,1170899.2,1171454.8,1172010.4,1154343,5522591,5508194,5493796,5479399
Iwate,1385041,1385596.6,1386152.2,1386707.8,1387263.4,1330147,1330702.6,1331258.2,1331813.8,1332369.4,1279814,2907687,2897517,2887348,2877178
Kagawa,1012400,1012955.6,1013511.2,1014066.8,1014622.4,995842,996397.6,996953.2,997508.8,998064.4,976756,1265958,1252102,1238246,1224390
Kagoshima,1753179,1753734.6,1754290.2,1754845.8,1755401.4,1706242,1706797.6,1707353.2,1707908.8,1708464.4,1648752,721074,713687,706300,698913
Kanagawa,8791597,8792152.6,8792708.2,8793263.8,8793819.4,9048331,9048886.6,9049442.2,9049997.8,9050553.4,9127323,971453,966151,960848,955546
Kochi,796292,796847.6,797403.2,797958.8,798514.4,764456,765011.6,765567.2,766122.8,766678.4,728461,1777235,1767501,1757768,1748034
Kumamoto,1842233,1842788.6,1843344.2,1843899.8,1844455.4,1817426,1817981.6,1818537.2,1819092.8,1819648.4,1786969,1636652,1624553,1612454,1600355
Kyoto,2647660,2648215.6,2648771.2,2649326.8,2649882.4,2636092,2636647.6,2637203.2,2637758.8,2638314.4,2610140,9149325,9171328,9193331,9215334
Mie,1866963,1867518.6,1868074.2,1868629.8,1869185.4,1854724,1855279.6,1855835.2,1856390.8,1856946.4,1815827,2603729,2597318,2590908,2584497
Miyagi,2360218,2360773.6,2361329.2,2361884.8,2362440.4,2348165,2348720.6,2349276.2,2349831.8,2350387.4,2334215,1806712,1797597,1788483,1779368
Miyazaki,1153042,1153597.6,1154153.2,1154708.8,1155264.4,1135233,1135788.6,1136344.2,1136899.8,1137455.4,1104377,2327771,2321327,2314883,2308439
Nagano,2196114,2196669.6,2197225.2,2197780.8,2198336.4,2152449,2153004.6,2153560.2,2154115.8,2154671.4,2099759,1097416,1090456,1083496,1076536
Nagasaki,1478632,1479187.6,1479743.2,1480298.8,1480854.4,1426779,1427334.6,1427890.2,1428445.8,1429001.4,1377780,2089409,2079059,2068710,2058360
Nara,1421310,1421865.6,1422421.2,1422976.8,1423532.4,1400728,1401283.6,1401839.2,1402394.8,1402950.4,1365008,1364687,1351594,1338502,1325409
Niigata,2431459,2432014.6,2432570.2,2433125.8,2433681.4,2374450,2375005.6,2375561.2,2376116.8,2376672.4,2305098,1356901,1348794,1340687,1332580
Oita,1209571,1210126.6,1210682.2,1211237.8,1211793.4,1196529,1197084.6,1197640.2,1198195.8,1198751.4,1166729,830126,825088,820050,815012
Okayama,1957264,1957819.6,1958375.2,1958930.8,1959486.4,1945276,1945831.6,1946387.2,1946942.8,1947498.4,1922181,2284332,2263567,2242802,2222037
Okinawa,1361594,1362149.6,1362705.2,1363260.8,1363816.4,1392818,1393373.6,1393929.2,1394484.8,1395040.4,1434138,1915431,1908681,1901931,1895181
Osaka,8817166,8817721.6,8818277.2,8818832.8,8819388.4,8865245,8865800.6,8866356.2,8866911.8,8867467.4,8838908,8838663,8838418,8838174,8837929
Saga,866369,866924.6,867480.2,868035.8,868591.4,849788,850343.6,850899.2,851454.8,852010.4,833245,1440806,1447474,1454143,1460811
Saitama,7054243,7054798.6,7055354.2,7055909.8,7056465.4,7194556,7195111.6,7195667.2,7196222.8,7196778.4,7261271,828884,824523,820163,815802
Shiga,1380361,1380916.6,1381472.2,1382027.8,1382583.4,1410777,1411332.6,1411888.2,1412443.8,1412999.4,1413184,7277969,7294668,7311367,7328066
Shimane,742223,742778.6,743334.2,743889.8,744445.4,717397,717952.6,718508.2,719063.8,719619.4,694188,1413269,1413354,1413439,1413524
Shizuoka,3792377,3792932.6,3793488.2,3794043.8,3794599.4,3765007,3765562.6,3766118.2,3766673.8,3767229.4,3701181,689575,684963,680350,675738
Tochigi,2016631,2017186.6,2017742.2,2018297.8,2018853.4,2007683,2008238.6,2008794.2,2009349.8,2009905.4,1974671,3687585,3673989,3660393,3646797
Tokyo,12576601,12577156.6,12577712.2,12578267.8,12578823.4,13159388,13159943.6,13160499.2,13161054.8,13161610.4,13513734,569599,565551,561503,557455
Tokushima,809950,810505.6,811061.2,811616.8,812172.4,785491,786046.6,786602.2,787157.8,787713.4,756063,1966366,1958061,1949756,1941451
Tottori,607012,607567.6,608123.2,608678.8,609234.4,588667,589222.6,589778.2,590333.8,590889.4,573648,748762,741461,734160,726859
Toyama,1111729,1112284.6,1112840.2,1113395.8,1113951.4,1093247,1093802.6,1094358.2,1094913.8,1095469.4,1066883,13620506,13727278,13834050,13940822
Wakayama,1035969,1036524.6,1037080.2,1037635.8,1038191.4,1002198,1002753.6,1003309.2,1003864.8,1004420.4,963850,1060469,1054055,1047641,1041227
Yamagata,1216181,1216736.6,1217292.2,1217847.8,1218403.4,1168924,1169479.6,1170035.2,1170590.8,1171146.4,1122957,955596,947343,939090,930837
Yamaguchi,1492606,1493161.6,1493717.2,1494272.8,1494828.4,1451338,1451893.6,1452449.2,1453004.8,1453560.4,1405007,1111971,1100985,1089999,1079013
Yamanashi,884515,885070.6,885626.2,886181.8,886737.4,863075,863630.6,864186.2,864741.8,865297.4,835165,1392417,1379827,1367238,1354648
